"Name","Ret.Time.1","Area.1","Mark.1","Ret..Index.1","SI.1","CAS.1","Retention.Index.1","Replicate.1","Ret.Time.2","Area.2","Mark.2","Ret..Index.2","SI.2","CAS.2","Retention.Index.2","Replicate.2","Ret.Time.3","Area.3","Mark.3","Ret..Index.3","SI.3","CAS.3","Retention.Index.3","Replicate.3","Ret.Time.Avg","Max.Area","Ret.Time.SD","Ret.Time.Outlier"
"2-propanone, 1-hydroxy-",1.995,328946," V ",NA,98,"116 - 09 - 6",698,1,2.022,297446,"   ",NA,98,"116 - 09 - 6",698,2,2.019,300382,"   ",NA,98,"116 - 09 - 6",698,3,2.012,328946,0.0147986485869486,NA
"pentane, 2,3,3-trimethyl-",2.841,1775913," V ",NA,98,"560 - 21 - 4",668,1,2.857,1494671," V ",NA,98,"560 - 21 - 4",668,2,2.842,1105711," V ",NA,97,"560 - 21 - 4",668,3,2.84666666666667,1775913,0.00896288643983254,NA
"octane, 4-methyl-",4.854,7200083," V ",NA,98,"2216 - 34 - 4",852,1,4.864,2366579," V ",NA,98,"2216 - 34 - 4",852,2,4.851,1529547," V ",NA,94,"2216 - 34 - 4",852,3,4.85633333333333,7200083,0.00680685928555397,NA
"2-heptanone",5.535,10027158," V ",NA,98,"0 - 00 - 0",0,1,5.547,9299909," V ",NA,98,"0 - 00 - 0",0,2,5.538,8526329," V ",NA,98,"0 - 00 - 0",0,3,5.54,10027158,0.00624499799839814,NA
"hexane, 2,2,5-trimethyl-",3.178,4378423," V ",NA,97,"3522 - 94 - 9",767,1,3.195,1876798," V ",NA,96,"3522 - 94 - 9",767,2,3.176,1320145," V ",NA,96,"3522 - 94 - 9",767,3,3.183,4378423,0.0104403065089104,NA
"2,4-dimethyl-1-heptene",4.3,4892247," V ",NA,97,"19549 - 87 - 2",819,1,4.313,2446756," V ",NA,96,"19549 - 87 - 2",819,2,4.3,1274167," V ",NA,93,"19549 - 87 - 2",819,3,4.30433333333333,4892247,0.00750555349946508,NA
".alpha.-pinene",6.994,76023454,"SV ",NA,97,"0 - 00 - 0",0,1,6.987,58609992,"SV ",NA,97,"0 - 00 - 0",0,2,6.959,42105428,"SV ",NA,97,"0 - 00 - 0",0,3,6.98,76023454,0.0185202591774523,NA
"nonane, 2,5-dimethyl-",10.23,12339032," V ",NA,97,"17302 - 27 - 1",986,1,10.227,10166527," V ",NA,95,"17302 - 27 - 1",986,2,10.219,9050403," V ",NA,93,"17302 - 27 - 1",986,3,10.2253333333333,12339032,0.00568624070307787,NA
"nonanal",13.924,7473625," V ",NA,97,"124 - 19 - 6",1104,1,13.932,9461929," V ",NA,97,"124 - 19 - 6",1104,2,13.931,11002926," V ",NA,97,"124 - 19 - 6",1104,3,13.929,11002926,0.00435889894354091,NA
"2-pentanone",2.099,858204,"   ",NA,96,"107 - 87 - 9",654,1,2.11,783906,"   ",NA,96,"107 - 87 - 9",654,2,2.099,773963,"   ",NA,96,"107 - 87 - 9",654,3,2.10266666666667,858204,0.0063508529610857,NA
